hanzi,traditional,pinyin,pinyin_numeric,hsk_level,frequency,pos,meaning_en,meaning_ko,classifiers
舍不得,捨不得,shě bu de,she3 bu5 de5,5,8924,v,to hate to do sth; to hate to part with; to begrudge,,
设备,設備,shè bèi,she4 bei4,5,1590,n,equipment; facilities; installations,,个
设计,設計,shè jì,she4 ji4,5,765,v/vn,to design; to plan; design; plan,,
设施,設施,shè shī,she4 shi1,5,3321,n,facilities; installation,,
射击,射擊,shè jī,she4 ji1,5,5059,v/vn,to shoot; to fire (a gun),,
摄影,攝影,shè yǐng,she4 ying3,5,3191,v/vn,to take a photograph; photography; to shoot (a movie),,
伸,伸,shēn,shen1,5,4337,v,to stretch; to extend,,
身材,身材,shēn cái,shen1 cai2,5,3318,n,stature; build (height and weight); figure,,
身份,身份,shēn fèn,shen1 fen4,5,1401,n,"identity; aspect of one's identity (i.e. sth that one is – mayor, father, permanent resident etc); role; capacity (as in ""in his capacity as a ..."" 以…份); status (social, legal etc); position; rank",,
深刻,深刻,shēn kè,shen1 ke4,5,2542,a/ad,profound; deep; deep-going,,
神话,神話,shén huà,shen2 hua4,5,6046,n,legend; fairy tale; myth; mythology,,
神经,神經,shén jīng,shen2 jing1,5,2307,n,nerve; mental state; (coll.) unhinged; nutjob,,
神秘,神秘,shén mì,shen2 mi4,5,2364,a/an/ad,mysterious; mystery,,
升,升,shēng,sheng1,5,1863,v/q,to ascend; to rise to the rank of; to promote; to hoist; liter; measure for dry grain equal to one-tenth dou 斗,,
生产,生產,shēng chǎn,sheng1 chan3,5,2146,vn/v,to produce; to manufacture; to give birth to a child,,
生动,生動,shēng dòng,sheng1 dong4,5,7805,a/ad,vivid; lively,,
声调,聲調,shēng diào,sheng1 diao4,5,23243,n,tone; note; a tone (on a Chinese syllable),,个
绳子,繩子,shéng zi,sheng2 zi5,5,7161,n,cord; string; rope,,条
省略,省略,shěng lu:è,sheng3 lüe4,5,19480,v,to leave out; an omission,,
胜利,勝利,shèng lì,sheng4 li4,5,1445,v/vn/nz,victory,,个
失眠,失眠,shī mián,shi1 mian2,5,7134,v/vn,to suffer from insomnia,,
失去,失去,shī qù,shi1 qu4,5,949,v,to lose,,
失业,失業,shī yè,shi1 ye4,5,4758,v/vn,unemployment; to lose one's job,,
诗,詩,shī,shi1,5,2594,n,poem; poetry; verse,,首
石头,石頭,shí tou,shi2 tou5,5,3169,n,stone,,块
时代,時代,shí dài,shi2 dai4,5,1384,n,age; era; epoch; period (in one's life),,个
时刻,時刻,shí kè,shi2 ke4,5,1705,n/d,time; juncture; moment; period of time; constantly; always,,个/段
时髦,時髦,shí máo,shi2 mao2,5,8563,a,in vogue; fashionable,,
时期,時期,shí qī,shi2 qi1,5,2090,n,period; phase,,个
时尚,時尚,shí shàng,shi2 shang4,5,1741,n,fashion; fad; fashionable,,
实话,實話,shí huà,shi2 hua4,5,4003,n,truth,,
实践,實踐,shí jiàn,shi2 jian4,5,5107,v/vn,practice; to put into practice; to live up to (a promise); to carry out (a project),,
实习,實習,shí xí,shi2 xi2,5,6022,vn/v,to practice; field work; to intern; internship,,
实现,實現,shí xiàn,shi2 xian4,5,1144,v/vn,to achieve; to implement; to realize; to bring about,,
实行,實行,shí xíng,shi2 xing2,5,4383,v,to implement; to carry out; to put into practice,,
实验,實驗,shí yàn,shi2 yan4,5,1879,vn/n/v,experiment; test; experimental; to experiment,,个/次
